nephilim heritage	"heritage:nephilim"	Nephilim
potent nectar	"feat:potent-nectar"	Potent Nectar
aegis of the dissolution	"feat:aegis-of-the-dissolution"	Aegis of the Dissolution
basic hedge mage spellcasting	"feat:basic-hedge-mage-spellcasting"	Basic Hedge Mage Spellcasting
dig quickly	"feat:dig-quickly"	Dig Quickly
treespeech	"feat:treespeech"	Treespeech
opportune backstab	"feat:opportune-backstab"	Opportune Backstab
wild witch's armaments	"feat:wild-witchs-armaments"	Wild Witch's Armaments
double shot	"feat:double-shot"	Double Shot
sympathetic portrayal	"feat:sympathetic-portrayal"	Sympathetic Portrayal
mobile finisher	"feat:mobile-finisher"	Mobile Finisher
expert rivethun spellcasting	"feat:expert-rivethun-spellcasting"	Expert Rivethun Spellcasting
necromancer's visage	"feat:necromancers-visage"	Necromancer's Visage
advanced mysteries	"feat:advanced-mysteries"	Advanced Mysteries
duskwalker magic	"feat:duskwalker-magic"	Duskwalker Magic
unleash the blight	"feat:unleash-the-blight"	Unleash the Blight
master psychic spellcasting	"feat:master-psychic-spellcasting"	Master Psychic Spellcasting
destined victory	"feat:destined-victory"	Destined Victory
experienced harrower	"feat:experienced-harrower"	Experienced Harrower
rebounding smite	"feat:rebounding-smite"	Rebounding Smite
alchemical shot	"feat:alchemical-shot"	Alchemical Shot
dragon prince	"feat:dragon-prince"	Dragon Prince
gigaton strike	"feat:gigaton-strike"	Gigaton Strike
rend armor	"feat:rend-armor"	Rend Armor
running recharge	"feat:running-recharge"	Running Recharge
headshot	"feat:headshot"	Headshot
familiar's eyes	"feat:familiars-eyes"	Familiar's Eyes
lion's might	"feat:lions-might"	Lion's Might
consume magic	"feat:consume-magic"	Consume Magic
miraculous medic	"feat:miraculous-medic"	Miraculous Medic
water strider	"feat:water-strider"	Water Strider
sour bomb	"feat:sour-bomb"	Sour Bomb
meditate on this!	"feat:meditate-on-this"	Meditate on This!
bat around	"feat:bat-around"	Bat Around
rapid hybridization	"feat:rapid-hybridization"	Rapid Hybridization
pack movement	"feat:pack-movement"	Pack Movement
bonded focus	"feat:bonded-focus"	Bonded Focus
defender's grit	"feat:defenders-grit"	Defender's Grit
maker of miracles	"feat:maker-of-miracles"	Maker of Miracles
lab rat	"feat:lab-rat"	Lab Rat
steadying stone	"feat:steadying-stone"	Steadying Stone
larger than life	"feat:larger-than-life"	Larger than Life
studious capacity	"feat:studious-capacity"	Studious Capacity
formation master	"feat:formation-master"	Formation Master
greater deathly secrets	"feat:greater-deathly-secrets"	Greater Deathly Secrets
chemical trail	"feat:chemical-trail"	Chemical Trail
vicious incisors	"feat:vicious-incisors"	Vicious Incisors
liberty's devotion	"feat:libertys-devotion"	Liberty's Devotion
counter thought	"feat:counter-thought"	Counter Thought
speak with the sleeping	"feat:speak-with-the-sleeping"	Speak with the Sleeping
specialty crafting	"feat:specialty-crafting"	Specialty Crafting
reach beyond	"feat:reach-beyond"	Reach Beyond
perfect resistance	"feat:perfect-resistance"	Perfect Resistance
titan swing	"feat:titan-swing"	Titan Swing
laughing kholo	"feat:laughing-kholo"	Laughing Kholo
impressive landing	"feat:impressive-landing"	Impressive Landing
shattershields	"feat:shattershields"	Shattershields
unbelievable luck	"feat:unbelievable-luck"	Unbelievable Luck
warp path	"feat:warp-path"	Warp Path
bloodsense	"feat:bloodsense"	Bloodsense
wildspell dedication	"feat:wildspell-dedication"	Wildspell Dedication
rising blood magic	"feat:rising-blood-magic"	Rising Blood Magic
ultimate polymath	"feat:ultimate-polymath"	Ultimate Polymath
tempo duelist	"feat:tempo-duelist"	Tempo Duelist
stitch flesh	"feat:stitch-flesh"	Stitch Flesh
predictive purchase	"feat:predictive-purchase-investigator"	Predictive Purchase (Investigator)
wind god's fan	"feat:wind-gods-fan"	Wind God's Fan
defy fey	"feat:defy-fey"	Defy Fey
air shroud	"feat:air-shroud"	Air Shroud
magic rider	"feat:magic-rider"	Magic Rider
surging smash	"feat:surging-smash"	Surging Smash
innate magical intuition	"feat:innate-magical-intuition"	Innate Magical Intuition
blowgun poisoner	"feat:blowgun-poisoner"	Blowgun Poisoner
goblin song	"feat:goblin-song"	Goblin Song
hag claws	"feat:hag-claws"	Hag Claws
reinforced skeleton	"feat:reinforced-skeleton"	Reinforced Skeleton
cantorian restoration	"feat:cantorian-restoration"	Cantorian Restoration
into the fray	"feat:into-the-fray"	Into the Fray
fey magic	"feat:fey-magic"	Fey Magic
cry of rebellion	"feat:cry-of-rebellion"	Cry of Rebellion
impaling finisher	"feat:impaling-finisher"	Impaling Finisher
glacial prison	"feat:glacial-prison"	Glacial Prison
three pecks of dew	"feat:three-pecks-of-dew"	Three Pecks of Dew
reliable luck	"feat:reliable-luck"	Reliable Luck
sunbird glare	"feat:sunbird-glare"	Sunbird Glare
expert captivator spellcasting	"feat:expert-captivator-spellcasting"	Expert Captivator Spellcasting
bloody debilitation	"feat:bloody-debilitation"	Bloody Debilitation
vicious snares	"feat:vicious-snares"	Vicious Snares
ward casting	"feat:ward-casting"	Ward Casting
spell survivor	"feat:spell-survivor"	Spell Survivor
clinging shadows initiate	"feat:clinging-shadows-initiate"	Clinging Shadows Initiate
inexorable	"feat:inexorable"	Inexorable
momentous charge	"feat:momentous-charge"	Momentous Charge
repel darkness	"feat:repel-darkness"	Repel Darkness
pathfinder agent dedication	"feat:pathfinder-agent-dedication"	Pathfinder Agent Dedication
recollect studies	"feat:recollect-studies"	Recollect Studies
henge gate	"feat:henge-gate"	Henge Gate
shield wall	"feat:shield-wall"	Shield Wall
greater merciful elixir	"feat:greater-merciful-elixir"	Greater Merciful Elixir
guarded thoughts	"feat:guarded-thoughts"	Guarded Thoughts
arcane school spell	"feat:arcane-school-spell"	Arcane School Spell
elemental trade	"feat:elemental-trade"	Elemental Trade
resolute	"feat:resolute"	Resolute
razor's edge	"feat:razors-edge"	Razor's Edge
immortal techniques	"feat:immortal-techniques"	Immortal Techniques
telling blow	"feat:telling-blow"	Telling Blow
exhort the faithful	"feat:exhort-the-faithful"	Exhort the Faithful
catch and kill	"feat:catch-and-kill"	Catch and Kill
small speak	"feat:small-speak"	Small Speak
reflect harm	"feat:reflect-harm"	Reflect Harm
decisive swimmer	"feat:decisive-swimmer"	Decisive Swimmer
vengeance strike	"feat:vengeance-strike"	Vengeance Strike
ranger dedication	"feat:ranger-dedication"	Ranger Dedication
clashing compound invocation	"feat:clashing-compound-invocation"	Clashing Compound Invocation
necromantic bulwark	"feat:necromantic-bulwark"	Necromantic Bulwark
scales of steel	"feat:scales-of-steel"	Scales of Steel
amalgamate	"feat:amalgamate"	Amalgamate
through spell	"feat:through-spell"	Through Spell
spark of immortality	"feat:spark-of-immortality"	Spark of Immortality
scion of domora dedication	"feat:scion-of-domora-dedication"	Scion of Domora Dedication
backup runic enhancement	"feat:backup-runic-enhancement"	Backup Runic Enhancement
paragon companion	"feat:paragon-companion"	Paragon Companion
you can't kill an idea	"feat:you-cant-kill-an-idea"	You Can't Kill an Idea
settlement scholastics	"feat:settlement-scholastics"	Settlement Scholastics
merciless rend	"feat:merciless-rend"	Merciless Rend
dread marshal stance	"feat:dread-marshal-stance"	Dread Marshal Stance
prodigal rune-singer	"feat:prodigal-rune-singer"	Prodigal Rune-Singer
immovable object	"feat:immovable-object"	Immovable Object
hedge mage dedication	"feat:hedge-mage-dedication"	Hedge Mage Dedication
perfect weaponry	"feat:perfect-weaponry"	Perfect Weaponry
mobility	"feat:mobility"	Mobility
sweeping tail	"feat:sweeping-tail"	Sweeping Tail
frighten undead	"feat:frighten-undead"	Frighten Undead
late awakener	"feat:late-awakener"	Late Awakener
jotun's eyes	"feat:jotuns-eyes"	Jotun's Eyes
undead creator	"feat:undead-creator"	Undead Creator
harden flesh	"feat:harden-flesh"	Harden Flesh
exploding bullet	"feat:exploding-bullet"	Exploding Bullet
cardinal guardians	"feat:cardinal-guardians"	Cardinal Guardians
unhampered passage	"feat:unhampered-passage"	Unhampered Passage
phantom visage	"feat:phantom-visage"	Phantom Visage
switcheroo	"feat:switcheroo"	Switcheroo
hindquarter kick	"feat:hindquarter-kick"	Hindquarter Kick
topple giants	"feat:topple-giants"	Topple Giants
triumphant inspiration	"feat:triumphant-inspiration"	Triumphant Inspiration
instinctual interception	"feat:instinctual-interception"	Instinctual Interception
the unholy dead	"feat:the-unholy-dead"	The Unholy Dead
elemental lore	"feat:elemental-lore"	Elemental Lore
fade presence	"feat:fade-presence"	Fade Presence
spirit companion	"feat:spirit-companion"	Spirit Companion
expert psychic spellcasting	"feat:expert-psychic-spellcasting"	Expert Psychic Spellcasting
flinging updraft	"feat:flinging-updraft"	Flinging Updraft
clinging climber	"feat:clinging-climber"	Clinging Climber
shattering blows	"feat:shattering-blows"	Shattering Blows
wary disarmament	"feat:wary-disarmament"	Wary Disarmament
shadow reservoir	"feat:shadow-reservoir"	Shadow Reservoir
tough cookie	"feat:tough-cookie"	Tough Cookie
basic scroll cache	"feat:basic-scroll-cache"	Basic Scroll Cache
enlightened presence	"feat:enlightened-presence"	Enlightened Presence
kitsune spell mysteries	"feat:kitsune-spell-mysteries"	Kitsune Spell Mysteries
grave threat	"feat:grave-threat"	Grave Threat
unending subsistence	"feat:unending-subsistence"	Unending Subsistence
talent envy	"feat:talent-envy"	Talent Envy
primal focus	"feat:primal-focus"	Primal Focus
shepherd of desolation	"feat:shepherd-of-desolation"	Shepherd of Desolation
analyze information	"feat:analyze-information"	Analyze Information
swashbuckler's speed	"feat:swashbucklers-speed"	Swashbuckler's Speed
lesson of the hurricane's might	"feat:lesson-of-the-hurricanes-might"	Lesson of the Hurricane's Might
aura of confidence	"feat:aura-of-confidence"	Aura of Confidence
rejuvenating embrace	"feat:rejuvenating-embrace"	Rejuvenating Embrace
endurance of the rooted tree	"feat:endurance-of-the-rooted-tree"	Endurance of the Rooted Tree
dragonet breath	"feat:dragonet-breath"	Dragonet Breath
ultimate mercy	"feat:ultimate-mercy"	Ultimate Mercy
hasty celebration	"feat:hasty-celebration"	Hasty Celebration
terrifying countenance	"feat:terrifying-countenance"	Terrifying Countenance
improvised crafting	"feat:improvised-crafting"	Improvised Crafting
grow tool	"feat:grow-tool"	Grow Tool
siphon life	"feat:siphon-life"	Siphon Life
natural skill	"feat:natural-skill"	Natural Skill
calcification	"feat:calcification"	Calcification
fluttering misdirection	"feat:fluttering-misdirection"	Fluttering Misdirection
swift intervention	"feat:swift-intervention"	Swift Intervention
rebellious existence	"feat:rebellious-existence"	Rebellious Existence
slippery secrets	"feat:slippery-secrets"	Slippery Secrets
scarecrow	"feat:scarecrow"	Scarecrow
hopping stride	"feat:hopping-stride"	Hopping Stride
wing rider	"feat:wing-rider"	Wing Rider
disillusionment	"feat:disillusionment"	Disillusionment
chromotherapy	"feat:chromotherapy"	Chromotherapy
pirouette	"feat:pirouette"	Pirouette
quick fix	"feat:quick-fix"	Quick Fix
iomedae's valor	"feat:iomedaes-valor"	Iomedae's Valor
haughty obstinacy	"feat:haughty-obstinacy"	Haughty Obstinacy
pivot strike	"feat:pivot-strike"	Pivot Strike
shrink down	"feat:shrink-down"	Shrink Down
banish falsehoods of flesh	"feat:banish-falsehoods-of-flesh"	Banish Falsehoods of Flesh
sunder enchantment	"feat:sunder-enchantment"	Sunder Enchantment
ride	"feat:ride"	Ride
shadow tempo	"feat:shadow-tempo"	Shadow Tempo
implausible purchase	"feat:implausible-purchase-investigator"	Implausible Purchase (Investigator)
supreme psychic center	"feat:supreme-psychic-center"	Supreme Psychic Center
supernatural charm	"feat:supernatural-charm"	Supernatural Charm
mask of power	"feat:mask-of-power"	Mask of Power
ricochet stance	"feat:ricochet-stance-rogue"	Ricochet Stance (Rogue)
form control	"feat:form-control"	Form Control
unsheathing the sword-light	"feat:unsheathing-the-sword-light"	Unsheathing the Sword-Light
hilt hammer	"feat:hilt-hammer"	Hilt Hammer
sentinel's orbit	"feat:sentinels-orbit"	Sentinel's Orbit
master skysage divination	"feat:master-skysage-divination"	Master Skysage Divination
kaiju stance	"feat:kaiju-stance"	Kaiju Stance
defensive instincts	"feat:defensive-instincts"	Defensive Instincts
ostilli host dedication	"feat:ostilli-host-dedication"	Ostilli Host Dedication
lesson of the splintered aegis	"feat:lesson-of-the-splintered-aegis"	Lesson of the Splintered Aegis
sheltering cave	"feat:sheltering-cave"	Sheltering Cave
enduring debilitation	"feat:enduring-debilitation"	Enduring Debilitation
multishot stance	"feat:multishot-stance"	Multishot Stance
feral lunge	"feat:feral-lunge"	Feral Lunge
crane flutter	"feat:crane-flutter"	Crane Flutter
warden's reload	"feat:wardens-reload"	Warden's Reload
war conditioning	"feat:war-conditioning"	War Conditioning
advanced blood potency	"feat:advanced-blood-potency"	Advanced Blood Potency
stymie the gods	"feat:stymie-the-gods"	Stymie the Gods
menacing prowess	"feat:menacing-prowess"	Menacing Prowess
witchwood seed	"feat:witchwood-seed"	Witchwood Seed
flashforge	"feat:flashforge"	Flashforge
retain absorbed spell	"feat:retain-absorbed-spell"	Retain Absorbed Spell
vigil's palisades	"feat:vigils-palisades"	Vigil's Palisades
path of iron	"feat:path-of-iron"	Path of Iron
political virtuoso	"feat:political-virtuoso"	Political Virtuoso
paired link	"feat:paired-link"	Paired Link
grief's fury	"feat:griefs-fury"	Grief's Fury
natural magnetism	"feat:natural-magnetism"	Natural Magnetism
aroden's innovation	"feat:arodens-innovation"	Aroden's Innovation
quietus strikes	"feat:quietus-strikes"	Quietus Strikes
autonomous arms	"feat:autonomous-arms"	Autonomous Arms
ward mind	"feat:ward-mind"	Ward Mind
explosion of power	"feat:explosion-of-power"	Explosion of Power
shifting terrain	"feat:shifting-terrain"	Shifting Terrain
flamboyant cruelty	"feat:flamboyant-cruelty"	Flamboyant Cruelty
forceful push	"feat:forceful-push"	Forceful Push
extinguish light	"feat:extinguish-light"	Extinguish Light
sonic dash	"feat:sonic-dash"	Sonic Dash
acupuncturist	"feat:acupuncturist"	Acupuncturist
edifying trace	"feat:edifying-trace"	Edifying Trace
orc sight	"feat:orc-sight"	Orc Sight
aura expertise	"feat:aura-expertise"	Aura Expertise
triggerbrand salvo	"feat:triggerbrand-salvo"	Triggerbrand Salvo
call gun	"feat:call-gun"	Call Gun
dragon roar	"feat:dragon-roar"	Dragon Roar
fierce competitor	"feat:fierce-competitor"	Fierce Competitor
natural ambassador	"feat:natural-ambassador"	Natural Ambassador
prismatic scales	"feat:prismatic-scales"	Prismatic Scales
emissary of peace	"feat:emissary-of-peace"	Emissary of Peace
avalanche strike	"feat:avalanche-strike"	Avalanche Strike
basic wizard spellcasting	"feat:basic-wizard-spellcasting"	Basic Wizard Spellcasting
advanced flair	"feat:advanced-flair"	Advanced Flair
advanced deific power	"feat:advanced-deific-power"	Advanced Deific Power
swordmaster dedication	"feat:swordmaster-dedication"	Swordmaster Dedication
venomous touch	"feat:venomous-touch"	Venomous Touch
inscribed with elders' deeds	"feat:inscribed-with-elders-deeds"	Inscribed with Elders' Deeds
reverberating spell	"feat:reverberating-spell"	Reverberating Spell
corpse tender dedication	"feat:corpse-tender-dedication"	Corpse Tender Dedication
performative weapons training	"feat:performative-weapons-training"	Performative Weapons Training
vigorous victor	"feat:vigorous-victor"	Vigorous Victor
dragon's presence	"feat:dragons-presence"	Dragon's Presence
battlefield arcana	"feat:battlefield-arcana"	Battlefield Arcana
intimidating spell	"feat:intimidating-spell"	Intimidating Spell
sky master mask	"feat:sky-master-mask"	Sky Master Mask
ghostly resonance	"feat:ghostly-resonance"	Ghostly Resonance
perfect ki exemplar	"feat:perfect-ki-exemplar"	Perfect Ki Exemplar
frightful condemnation	"feat:frightful-condemnation"	Frightful Condemnation
fight or flight	"feat:fight-or-flight"	Fight or Flight
fleet tempo	"feat:fleet-tempo"	Fleet Tempo
starlit spells	"feat:starlit-spells"	Starlit Spells
mammoth lord dedication	"feat:mammoth-lord-dedication"	Mammoth Lord Dedication
mutate weapon	"feat:mutate-weapon"	Mutate Weapon
majestic proclamation	"feat:majestic-proclamation"	Majestic Proclamation
widespread fascination	"feat:widespread-fascination"	Widespread Fascination
power slide	"feat:power-slide"	Power Slide
aeonbound	"feat:aeonbound"	Aeonbound
deny support	"feat:deny-support"	Deny Support
swimming poppet	"feat:swimming-poppet"	Swimming Poppet
change of face	"feat:change-of-face"	Change of Face
ferocious gust	"feat:ferocious-gust"	Ferocious Gust
suspect of opportunity	"feat:suspect-of-opportunity"	Suspect of Opportunity
food preservation	"feat:food-preservation"	Food Preservation
dread mosquito storm	"feat:dread-mosquito-storm"	Dread Mosquito Storm
